,address,tokens_bought,tokens_sold,total_transactions,unique_tokens_bought,unique_tokens_sold,net_posters
162,0x9cf5dec27768855d478152128851ebde74f6a3ed,26,22,48,20,17,4
163,0x0f6e4145e878ae9047d55c5f24c7337d27a9bc89,23,23,46,23,23,0
164,0xbaaba861464f25f52c2ee10cc3ac024f4f77812a,23,23,46,23,23,0
165,0x715af6b6c6e3aefb97f1f6811ce52db563b38896,23,23,46,22,22,0
166,0x9919eacb27ebab49f824ece3d9733010cf707807,23,23,46,23,23,0
167,0x53b63171833cd77425ba9f3300ae0113ce64985d,23,23,46,23,23,0
168,0x3075b28dd7a025901c7a099c87c7c9e4062956c0,23,23,46,23,23,0
169,0x92a89a5a8ffd673c491c3d8b167a1715e7a2e5f1,23,23,46,23,23,0
170,0x2845633f9cd219b43be29cae1ad4b776865e51d0,23,23,46,23,23,0
171,0xb84f8b0ab8b322045bb311689f3533ed99f4f246,37,9,46,36,9,28
172,0xd3480dba9a6e999c3b404d5858e76ed44eb31d4c,24,22,46,24,22,2
173,0x4dff46c516cf287e9bed9b85d70c537b792f4f74,23,23,46,23,23,0
174,0xa33b3ca53c9d60a5d4d195e22fefa73f88ba81be,23,23,46,23,23,0
175,0xed47a1ad6d88cac2bba469df1ea149034cba63b6,38,7,45,38,7,31
176,0x874df3dda021045f17542593e161c2c7366ae266,24,21,45,24,21,3
177,0xa9d1f0b36e98e7dc14afa10c35b20296bc71e242,28,16,44,28,16,12
178,0x99dc81489b75268baad66e2eb2301371d1ce235a,22,22,44,22,22,0
179,0x3e18e3987b3b73f4e7cb80e2b25776df7a30bb8b,22,22,44,21,21,0
180,0xaeb66f400f288521ad03087815bdba4c74bb9eef,22,22,44,22,22,0
181,0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,22,22,44,22,22,0
182,0x93b9f1059c2a2ac43de31788150041c8bf7b6ee1,22,22,44,22,22,0
183,0xd42d272b1523afd7448086275aa29de130d3acdf,22,22,44,22,22,0
184,0x0570ab4734e8ba6589295761089bb788ca172fd0,22,22,44,22,22,0
185,0xe4bb5b561d23313c89f53d80f049545f1afd2caf,22,22,44,22,22,0
186,0x4fb1136a1122b2312089b0a7ba2111866a6f7b59,22,22,44,22,22,0
187,0xebda75c5e193bbb82377b77e3c62c0b323240307,22,21,43,22,21,1
188,0x4d1572ea399cfcb0a4b25b364df2c5ba68697e18,22,21,43,22,21,1
189,0x16da1d853788c84749baf17bd90610e9ea91dda3,22,21,43,22,21,1
190,0x4aa439725d893716ffff504696413ddd26228b68,22,21,43,21,20,1
191,0xf87acaa7c2446ff1bd45827f55f7f75104ab8614,22,21,43,22,21,1
192,0xea4e40f8d11ffe1ee6368ca193e508578ac7e56b,21,21,42,21,21,0
193,0x53e740a8c722fc38b8b4370f2b5f66f9cb3196a9,21,21,42,21,21,0
194,0xead28e25ad83ee78f12e4188ae7f8743aa761f7c,21,21,42,21,21,0
195,0x9331d19b3fde177a9227bd8e0f4e72d9e39d880d,21,21,42,21,21,0
196,0x3b12bfc36931155a8dc26c6636d0c888e9a3f55c,38,4,42,38,4,34
197,0x0e03ec016f31a1ca056cb94ac16bf87383f05b73,21,21,42,18,18,0
198,0x564bca365d62bcc22db53d032f8dbd35439c9206,21,21,42,21,21,0
199,0xc174e63eeebe94e27266926a34accff7b84c6bb7,32,10,42,32,10,22
200,0x2cb39957f1c3bc0fde98f509c0ad82b37bb7827f,21,21,42,21,21,0
201,0x77777e7a8f844b73f6269bbda7f440af16038d90,21,21,42,11,11,0
202,0x5bc13f4b9987ccdf0bd191b02bb1c6eaa7483aca,21,21,42,21,21,0
203,0xab962065e0b71ea2190329bb244ad79753ae268a,22,20,42,22,20,2
204,0xba0cdafe3a4b78da70e43815a1e996fbe097f533,21,20,41,21,20,1
205,0x9d9ade3881f4db9bc13298d2664b0ebe53e28c19,21,20,41,21,20,1
206,0x63605e53d422c4f1ac0e01390ac59aaf84c44a51,20,20,40,20,20,0
207,0xd2adee3cce690a7af928210342b86a965548f526,20,20,40,20,20,0
208,0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576,40,0,40,40,0,40
209,0x3d39b9c442db22df8b5898a14d301b5862e38008,20,20,40,20,20,0
210,0x899ee6f1dc896c695918b6fc169ec43b84a3e74d,20,20,40,19,19,0
211,0xa73f741a7e68d53bbeef83187ac08465fc9a4336,20,20,40,20,20,0
212,0x8a7b802bbf5bb75dd1d491251a01eae2646a5ad2,20,20,40,20,20,0
213,0xd1116bf082416d2ea6364f18566ddaefed3e9717,20,20,40,20,20,0
214,0xe8660bb4e9769ccd35123b781c9b36b46f310afe,20,19,39,20,19,1
215,0xef4aa2606c138d98743ffb46959583d92ca1e6a0,22,16,38,22,16,6
216,0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,19,19,38,19,19,0
217,0x3ea64fe7b3329a920a29cc23ce7bdab804ce5216,19,19,38,19,19,0
218,0x94b8d81254db1eaa9be28a8ba7a1236dda618c35,19,19,38,19,19,0
219,0x7a3f86fef2bd91c38e5e8544816b21c074fa9156,19,19,38,19,19,0
220,0x0c10f07c431a17895fbf2af0c6080a2b66cd5099,19,19,38,19,19,0
221,0x445816ca9bb0146940b802d49ce146787c73b5ca,19,19,38,19,19,0
222,0x77bac8bc894ca3afee59ab1766812ab78bcdb64b,38,0,38,38,0,38
223,0x67a91d0e355545e4342a6c233f47712218ea7fec,19,19,38,19,19,0
224,0x115d55fe3f068e05f57d247389c5b93534d685ca,19,19,38,19,19,0
225,0x1cc3195c46c2f6af665ae281ad861eab88ed8fb5,19,19,38,19,19,0
226,0x55142721c40fb224aaad95f8fdcbf92d2baca5eb,19,19,38,19,19,0
227,0x043c91573014f46f58f73ddfab865a2536532e81,19,19,38,19,19,0
228,0x8035380a8489ee0d3f151466a93d8d38d844355d,19,19,38,19,19,0
229,0xc318918be0bda998f0592263710f10173ea39859,19,18,37,19,18,1
230,0x82ee15e7c0c923e512eb0c554a50e08254ebd660,21,16,37,21,16,5
231,0x9893e05c2a7a9ba3261c58710d297054d756007b,18,18,36,18,18,0
232,0x7bcba9296df0a11afac47881e9c08b40371ba008,23,13,36,23,13,10
233,0x6fef083cd07c02e5d0c6f0c28695b2a8a8e85a03,22,14,36,22,14,8
234,0x7105ba303ce8642986df5abd3889634a735ac316,18,18,36,18,18,0
235,0xd2e46bcd3c16065fa6d3c291a23635f7322fe1be,18,18,36,18,18,0
236,0xa6d4e19f1bf06434144fee29e6b89749be4070ef,18,18,36,18,18,0
237,0xaddd5a1d51bff4d67e67ae23fad94b6b287de78c,19,17,36,19,17,2
238,0x4a37eb664e0887884940762f2c3ad389eed9d169,18,18,36,17,17,0
239,0x7538eb6b4846f7a694ebe53429dd305ac10c2b4a,18,18,36,18,18,0
240,0x95c1504657ab244cf8b728625fd5e57a14a05606,18,18,36,18,18,0
241,0xcab4af915606304fabd7adee53acf501b1fe6372,18,18,36,18,18,0
242,0xdadd6e94b6ab894e536b5eb90a2bb04bbd4e78b8,22,14,36,22,14,8
243,0x06422913cf80d82fd90b3fd3bb9dd6d539f99588,18,18,36,18,18,0
244,0x93ec07ba1648b54787748d6e960a66ee442b8424,18,18,36,18,18,0
245,0xa723bcc05f4e0f739d572e7fdff0b23af977a8f7,18,17,35,16,15,1
246,0x45f037560374a81c1efa077674406e2ac5175fa1,18,17,35,18,17,1
